 61022211222222122   366664   5   2   5   2   31   61   3   1   7   4   4   4   4   3   4   4   4   31   26666   4   3   2   4   2   2   2   3   3   3   2   3   1   1   2   2   2   2   2   2   1   3   4   3   4   4   3   4   4   4   3   3   2   1   1   1   1   1   2   1   1   2   1   2   2   2   2   2   2   1   2   2   3   2   3   226666666666666666   2   3   2   3666666666666666666666666   1   19999999999999999   7   4   7   5   5   1   1   50.8401463496720060.5196548144802380.4471338885083180.5024684378344320.1785722670,64037942 113334 0.1964948802628280,516943434856147 1 811626 63   6   6  66 16   6666104666   6   61666 52666611666 366 84622   2   6   61   66615422222221112122222222211 91   1   1   1   1   1   2 6   2   6   6   6   6   6   6   6   6   641   2   2422221112222121112 624 47  4666220194120 00
 88411222122122122   366664   4   1   5   2   32   04   4   2  10   9   1   5   3   3   2   3   3   31   16666   4   1   4   3   3   1   4   1   3   3   2   3   3   3   2   2   2   2   2   2   1   4   4   4   4   4   3   466666666   3   1   1   2   2   2   2   2   2   2   2   2   2   2   1   2   2   2   2   1   2   2   3   3   2   31   1   2   2   16666666666666666   1   1   19999   1   1666666666666666666666666   7   5   5   5   3   2   1   50.8451036342587080.8538532726439830.6780617845381840.7314664267694480.3425389032,215685561115517 0.5107611021941751,50361710312975  11111626 41   1   2   7 16   6666115511   6   611 1 52 56611666 466 61621   1   2   11   66616422222221222122122222212 91   1   2   1   1   1   2 4   2   6   6   6   6   6   6   6   6   632   3   2221231121222121213 633 36  3  4320197112 72
104021222222222122   366665   5   2   5   2   31   04   2   4   8   8   3   3   2   3   3   2   2   326666   1   4   2   2   2   2   3   4   1   2   1   1   1   3   2   2   2   1   2   1   1   2   4   3   3   2   2   3   466666666   2   3   4   1   1   1   2   2   2   1   2   1   1   2   2   2   2   2   2   1   2   2   2   3   3   41   3   1   3   16666666666666666   6   6   29999   69999666666666666666666666666 3.5   28888   4   5   2   1   60.874338180119007 0.688114068240610.6444534772716640.592413388025497 2.011793092,238520067216615  2.027904644274342,20958999308319  21411626 41   1   2   7 66   6611 512 6   2   222 6 56 56666666 666 54621   1   2   11   66615522122222222222122222211 81   1   2   1   2   2   2 3   2   6   6   6   6   6   6   6   6   622   2   1221221211222121213 633 54  5  4320195300 00
 40322122222222122   366665   599999999999999992   04   5   3   6   8   3   4   3   4   4   5   5   31   16666   4   3   2   3   3   3   2   2   3   3   3   3   3   3   2   2   2   1   2   2   2   4   4   4   4   4   4   466666666   2   2   3   2   2   2   2   2   2   1   1   2   1   1   2   2   1   2   2   2   2   2   2   3   3   326666666666666666   2   1   2   2666666666666666666666666   6   6   3   5   5   5   7   6   6   6   5   1   1   6             99990.9376810902425170.9017501217368340.9017501217368341.7845190191,40774078 215528  1.115250072930531,56085754770169  21211626 41   1   2   7 73   6612 513 9   2   222 6 56666666666 666 62621   2   6   61   66614222122222222222122222211 71   1   1   1   1   1   1 5   2   6   6   6   6   6   6   6   6   638   4   2122234214221221224 624 54  5666320198111 97
 86422122222222122   366663   4   2   3   3   24   04   9   3   1   5   3   3   3   2   3   2   2   31   16666   3   1   3   3   3   3   3   3   1   1   1   1   1   1   1   2   2   1   1   2   2   3   3   3   3   3   3   366666666   1   1   4   2   2   2   2   2   2   1   2   1   1   1   2   1   1   1   2   2   2   2   1   1   2   31   1   1   1   16666666666666666   4   5   3   3   4   3666666666666666666666666   2   3   1   3   1   3   2   10.5851119686211970.4460189890506970.4699069297832950.2685335732305520.1386821751,261420487115525 0.1056377666019620,884992517896879 11211626 51   3   2   4 73   6311 722 7   2   222 7 1688666666666 1 16621   2   6   63   2 1143122222212122221221222 6 21   1   2   2   2   1   2 2   1   2   1   2   2   2   2   2   2   212   2   2122322111222121113 531 66  6999320195120 00
153222122222222122   366665   5   2   5   2   32   04   5   2   6   5   3   4   4   4   4   4   4   41   16666   4   3   4   2   2   3   3   2   3   3   1   2   1   2   1   2   2   2   2   2   2   3   3   3   3   2   1   366666666   4   2   1   1   19999   2   2   2   2   1   2   2   2   2   2   2   1   1   2   2   2   1   3   3   31   3   3   1   16666666666666666   2   2   4   7   3   46666666666666666666666668888   58888   4   4   2   2   60.8743381801190070.5642542198879920.646395076604794 0.510710090264080.0403753242,1653568041355410.01795664804602512,62781458404371  11333211 31   3   2   2 66   61161151 5   2   222 3 56 16666666 666104632   1   3   23   1 9232522222221222211222222 5 11   2   2   2   2   2   2 3   1   1   2   2   2   1   2   2   2   241   3   2422111212121222113 533 41  4  5420191111108
 38622222222221122   366664   4   2   4   3   22   63   2   2   6   8   3   3   2   3   3   3   3   426666   1   3   3   2   3   2   2   3   2   3   2   2   2   2   2   2   2   1   1   2   2   2   3   3   3   3   3   3   3   4   4   1   3   2   1   2   1   2   2   1   2   2   2   2   2   2   2   2   2   2   1   2   2   3   2   2   326666666666666666   2   3   2   2666666666666666666666666   2   2   5   4   2   2   6   2   4   4   4   1   1   40.6693728067229560.6738534008809880.6588761970788660.685137652033487 0.381205820,774562492125537 0.3947597711596620,32241870435011  11122626 41   1   2   7 16   6661 831 5   6   212 6 42 4661166666 5 66641   2   6   61   66616522222221212122122222213 91   1   1   1   1   1   2 4   2   6   6   6   6   6   6   6   6   621   2   2222221224122211113 625 41  4  5420197112 95
 43712221112222122   366665   5   2   4   2   33   43   2   2   8   4   4   4   4   4   4   4   4   426666   1   4   1   1   2   1   1   3   1   1   2   2   2   1   2   1   2   1   2   2   2   2   4   4   4   5   4   4   4   4   4   2   2   2   1   1   1   1   2   1   1   2   2   2   2   2   2   1   2   1   2   2   2   2   3   3   326666666666666666   4   3   2   1666666666666666666666666   2   4   4   1   4   3   7   8   5   5   4   1   1   50.838107536387003  0.76480620895080.7252619749153340.8132653257732690.0359052210,449749275114444 0.0301560721249040,244333066479649 11011626 41   1   2   6 16   6666115511   6   611 1 41 1661166666 6 86654   2   6   61   66617422222211112122221222213 81   1   1   1   2   1   2 5   2   6   6   6   6   6   6   6   6   633   3   1311113991122121214 711 36  3  4420194111 76
 53732122222222122   366665   5   1   5   3   31   04   4   3   4   8   4   4   3   3   3   3   3   326666   1   4   2   2   4   2   3   4   3   1   3   3   4   2   4   2   2   2   2   2   2   1   3   3   3   2   3   3   366666666   2   1   2   1   2   1   2   2   2   2   2   2   1   1   2   2   2   2   2   1   2   2   3   4   3   426666666666666666   4   1   2   2666666666666666666666666   59999   59999   5   5   4   4   4   4   4   2   1   30.8698423909942660.5118736780011560.4263361477238650.6083079542984790.7240769561,317068428116627 0.6901804894648430,873508885699261 11311626 41   1   2   7 66   6616 622 6   2   621 1 26 4666666666 2 26641   2   6   61   66614512222221222222122222210 31   1   2   1   1   2   2 3   1   2   2   2   2   1   2   2   2   222   3   2221232121222121312 632 61  6  5420197112 90
 85322122222222122   366664   4   1   5   3   46   04   7   2   7   7   5   4   5   4   4   3   3   426666   2   4   2   1   4   4   2   3   3   2   2   1   1   1   1   1   1   1   1   1   1   2   3   3   3   3   3   3   566666666   4   2   2   29999   1   2   2   2   2   2   2   2   1   2   2   2   2   2   1   2   2   2   3   3   31   1   2   2   16666666666666666   2   2   5   3   1   6666666666666666666666666   4   3   3   5   4   1   1   60.8137638313223250.8508496770208550.5840747587960020.6365846009095190.2943459951,081247937215527 0.2112563234580880,837434301782327 21111626 42   1   2   7 66   6616 72666   2   62666 966626666666666116611   1   3   11   66622552122222222332122221388993   3   3   3   3   3   1 5   1   2   2   2   2   1   2   2   2   224   4   2222311311112222124 645 20  2666120197111 86
