 246   2   2   1   2   4   34   4   2   4   3   31   2   1   2   2   2   2   2   26666   3   1   6   36666   1   6   3   4   3   5   5   4   1   2   1   1   2   2   2   2   2   2   2   2   2   2   2   2   2   1   2   2   2   2   2   2   1   1   1   1   8   3   7   5   2   3   2   2   3   3   4   4   3   4   6   6   3   3   4   3   6   2   3   2   1   8   2   2   2   3   3   3   2   2   3   40.1046797910,435312295114442 0.107742750,26459005211011626 411   2 7 1666661155116611 1 52 56611666 566 84621121166619432222221222122222222213102111112 526666666663231321142221122211112 712 36  3  332019
1224   4   1   3   1   3   34   5   2   5   2   41   2   1   2   2   2   2   2   26666   2   6666666666666   666666666   3   5   4   5   1   2   2   1   2   2   2   2   2   2   1   2   2   2   2   2   2   2   1   2   2   2   2   2   2   1   4   1   1   1   4   7   2   3   5   3   2   2   3   4   4   3   3   6   3   3   6   1   2   8   3   1   3   2   9   4   2   1   4   4   4   3   2   1   10.5738249610,6234149412155210.3384949130,28929588321111626 212   2 3 166661 622 66212 6 22 2661166666 4 5662112132 623252122222222122122222211 71222122 312222122223232222322222222212123 825 51  5  532019
1432   4   3   3   1   3   34   4   2   5   2   31   2   2   2   1   2   2   2   26666   2   1   6   1   1666666666666   4   4   1   4   5   1   2   2   1   1   2   1   1   2   3   2   2   2   2   2   2   2   1   2   2   2   2   2   2   1   3   1   6   8   1   6   2   2   2   3   1   1   1   4   1   1   3   6   6   6   6   1   3   8   3   3   1   1  10   4   2   1   4   4   4   1   3   1   10.3428900351,88524561 1155270.3240587791,34268423 11211626 736   666 166666 72666661666 966626666666666 86621266166615412222221112313133333312 91111112 412222222211341122132111221121111 835 20  266622019
 675   3   2   2   1   4   34   5   3   4   2   41   3   1   1   2   2   2   2   16666   2   1   6   36666   1   6   3   4   4   5   4   3   1   2   1   1   2   2   2   2   2   1   2   2   2   2   2   2   2   1   2   2   2   2   2   2   1   3   6   3   7   2   7   3   3   3   3   1   1   2   4   4   4   4   6   4   3   6   2   3   7   3   6   4   1   2   2   1   2   3   2   2   3   1   4   40.440328226NA         2122470.791074392NA         2 611626 212   2 4 1666661155116611 1 12 566221 166 6 86621266266624252212222212122222222213101112121 526666666661331222264322122112123 224 32  3  332019
 157   3   3   2   1   4   33   3   4   3   4   21   166666666666666666666   2   2   16666   6666666666666666666666666   4   1   5   3   5   1   2   2   1   2   2   2   2   2   3   2   2   2   2   2   2   2   1   1   2   2   2   2   2   2   2   1   1   1   1   7   3   2   4   2   2   3   4   4   4   6   3   6   6   6   3   1   2   8   1   6   1   1   5   4   3   4   2   2   1   4   3   1   30.4578186561,6078422412166250.2767325631,57299813621411626 536   666 666616 62666262666 4666666666666 2 466111311666233522221222222221222221 4 21111212 212222222211331222145424212222113 223 66  666612019
 961   3   2   2   1   3   35   5   1   5   2   31   2   1   2   2   2   2   2   26666   2   6666666666666   666666666   4   5   5   5   4   2   2   2   1   2   2   2   2   2   1   2   2   2   2   2   2   2   1   2   2   2   2   2   2   1   2   2   1   1   1   7   2   1   1   2   3   3   2   4   4   3   3   6   6   6   6   4   2   5   3   3   2   1   8   4   1   1   4   4   2   2   2   2   30.0361264860,6562009381166340.0227833470,31328068911411626 411   2 7 6666111042 62222 6 56 56666666 566 73621121166614522122222222222122222210 61111212 212222122222132122411121222121212 225 36  3  532019
 594   2   2   2   1   3   34   4   2   4   2   31   2   1   2   2   2   2   2   26666   1   6666666666666   666666666   5   5   4   5   4   1   1   2   1   2   2   2   2   2   2   2   2   2   2   2   2   2   1   2   2   2   2   2   2   1   1   1   1   1   8   8   2   2   7   3   4   4   2   4   4   6   3   6   4   3   3   4   2   8   2   2   3   2   8   3   2   2   3   3   3   2   1   1   10.9576232622,7716807351166250.6778657492,30733730211311626 411   2 7 666611 622 62222 6 46 1666666666 4 16621121166615522122222222222122222210 61111222 426666666661232121324321222112123 522 61  6  532019
 265   2   2   3   2   3   32   3   4   2   3   21   4   1   1   2   2   2   2   26666   4   1   6   1   1   1   6   1   4   5   5   5   4   2   2   1   2   2   2   2   2   2   1   2   2   2   2   2   2   2   1   2   2   2   2   2   2   1   2   3   1   6   2   7   2   1   3   3   2   3   3   4   4   6   6   6   3   3   6   4   2   7   1   4   2   2   6   2   2   2   3   3   3   3   2   2   30.0383469110,3589943051122420.0668570560,3742702171 611626 212   2 3 1666661044106611 1 12 5661166666 4116643123266615222122222222122221222211 61111222 426666666664122322111113222121213 535 51  5  442018
1132   3   2   2   2   3   34   5   2   5   2   41   4   2   1   2   2   2   2   26666   3   1   6   36666666666666666   5   1   4   3   5   2   2   1   1   1   2   2   2   2   1   1   2   2   2   2   2   2   2   2   2   2   2   2   2   1   2   5   1   7   2   7   3   1   4   3   1   4   1   4   4   6   3   6   3   6   6   3   3   0   3   1   3   1   2   1   2   2   4   4   3   3   1   4   40.2052499730,3868193221133470.2904169710,3121198521 811626 736   666 166666115666661666 51666611666 566 83644134166619321212222222122221222211 71111112 526666666661341122211211121111213 723 36  366622019
1499   3   2   2   2   3   24   4   2   4   3   34   3   2   2   2   2   1   2   16666   2   5666666666666666666666666   3   5   4   5   5   2   2   2   1   2   2   1   2   2   2   2   2   2   2   2   2   2   1   2   1   2   2   2   2   2999999999999999999999999999999999999   2   3   2   3   4   49999999999999999999999999999   3   3   49999   2   2   5   4   2   4   3   1   2   3   3   3   30.1666675421,32904517 1112310.2580569819,9702462021 511626 136   666 566666104666262666666666666666666666661126631 5212321222222222222222222 3 12122222 326666666668832822132125212222121882466666666612019
1009   3   1   4   1   3   34   4   2   4   3   21   2   1   2   2   2   2   2   26666   3   6666666666666   666666666   3   3   1   4   2   2   2   1   1   2   2   2   2   2   1   2   2   2   2   2   2   2   1   2   2   2   2   2   2   1   3   1   1   1   1   7   3   6   1   2   2   1   3   4   4   3   3   6   6   6   3   2   2   7   3   3   2   2   3   3   1   3   3   2   2   3   1   2   30.6053676071,8711942111155220.4741130851,09502881411311626 411   2 7 666611 621 42222 6 56 56666666 466 73621266166623332222111221222122222277993121222 212222222212232122142221212222111 152 46  4  532019
1516   2   1   2   2   2   34   5   2   3   3   31   5   1   1   2   2   2   1   26666   2   1   6   1   1   1   6   1   4   5   5   5   4   2   2   2   1   1   2   2   2   2   1   2   2   2   2   2   2   2   1   2   2   2   2   2   2   1   3   3   2   7   2   7   2   2   4   2   1   2   2   4   4   2   6   6   4   1   6   4   3   5   2   2   1   1   8   3   2   3   3   2   3   2   2   2   30.1489915730,4504240662133450.1377055320,4132322862 811626 411   2 6 1666661155116611 1 51 46611666 466 52654266166616422222222122122221222212 61112212 526666666662331222122121222111213 612 46  4  442019
 884   4   2   1   2   4   34   4   1   4   2   31   2   1   2   2   2   2   2   16666   1   6666666666666   1   6   2   4   4   4   3   4   1   1   1   1   2   2   2   2   2   2   2   2   2   2   2   2   2   1   2   2   2   2   1   2   2   4   1   1   7   5   1   6   5   5   3   2   2   2   4   4   3   3   6   6   6   6   1   3   8   3   2   2   1  10   3   2   2   4   4   4   3   3   1   20.3425389032,2156855611155170.4969092331,46064835811111626 411   2 7 1666661155116611 1 52 56611666 466 61621121166616422222221222122122222212 91121112 426666666663232221231121222121213 633 36  3  432019
1271   4   3   5   1   3   32   2   3   3   3   31   2   1   2   2   2   2   2   26666   2   6666666666666   666666666   2   5   5   5   4   1   1   2   1   2   2   2   2   2   1   2   2   2   2   2   2   2   1   2   2   2   2   2   2   1   2   1   1   1   1   7   2   5   7   3   2   3   3   4   4   3   3   6   6   6   6   4   3   8   3   6   4   2   0   4   1   2   4   4   1   3   1   1   10.0405409430,6234149412155210.0239147890,28929588321211626 411   2 7 666611 622 72222 6 16 5666666666 21066211111666142221222222222221222222 6 22112222 326666666661232222322111222121222 535 51  5  632019
 982   3   3   2   1   2   33   3   3   3   3   41   2   1   2   2   2   2   2   16666   2   6666666666666   666666666   3   4   3   4   4   1   2   2   1   2   2   2   2   2   1   2   2   2   2   2   2   2   1   1   2   2   2   2   2   2   2   2   1   1   2   7   2   5   5   3   1   2   3   4   4   1   3   3   3   1   1   4   3   8   4   6   2   1   8   3   2   2   2   2   3   2   2   3   40.0773374620,75999463 2166350.0394220580,57124992121311626 411   2 7 6666111045112222 6 16 9616666666 6 96621121166615512222222212222122221212101112221 426666666661241112234231222122113 423 32  3  332019
1034   4   3   1   2   3   33   5   3   4   3   31   166666666666666666666   2   2   16666   1   6   2   3666666666666   4   5   2   2   5   2   2   1   1   1   2   1   2   2   1   1   2   2   2   2   2   2   2   1   2   2   2   2   2   2   3   1   2   8   3   7   3   3   3   1   2   3   4   4   3   6   4   6   6   2   3   1   3   7   2   4   1   2   8   3   2   4   4   4   3   2   2   2   20.0359052210,3062068152133440.0350596420,2096937812 911626 136   666 166666115666661666 52666611666 566112611266266622452212222222122222222210 91112222 326666666661332121134443122211212 522 36  366612019
