 3061 613626 4112 3 16116626661 5 6616 2661136 56  5 7222 661 519994322661666142222122112221222222222993772222221222222221 15122422111112 812221313 5212141316232141581122 877 61326666666611.0687949831.06879498312227  1.45805831.7850401677300 01
 3472 511626 2122 3 1611662666410 5616 366 136 47  4 1616 566 62  63212661666341222222222211222222222 82111212121212222222 442323221121146612222223 5352166516233434221222 4 2 61126666666610.8635412770.86354127722234 1.576568912.2170106924111 34
 4042 911626 136666 1611662666511 5616 5661126 36  36666666666666661112662666224521222222221222222222 91101122222666666666 31332121134443 222211212 5222141410132434221222 6 6 52212122222210.3062068150.306206815233440.5305967540.7017111024111 87
 34911011626 4112 7 16116626663 9 5616 266 116 51  5 1616 666 62  53212662666152299999999991212222222 91121233321122222222 31232122312211662212212277251256577234423221222 5 7 32212222221110.9104506740.910450674144350.3412240030.4122570625111 75
 9582 811626 4112 6 1611662666410 5616 466 636 46  4 1616 566 83  64432662666154222122111221222212222 51111112122666666666 323421212322226622122123 5112156516232333221122 3 1 31226666666610.4037193050.403719305233370.4609393030.6007091787112 80
 39111411626 4112 7 62266666613 9 5666 366 846 47  4 6226 561 83  51111211666141221222222222221222222 81 91111122666666666 422323211232216622122212 32121514 6234424221222 3 2 11126666666611.0553042991.055304299166320.5868966220.4841935977221 13
 67911011626 536666 16116616661 4 261666 4 166 51  56666666666666661111122666131122222222211222222222 51 71222222666666666 321321212121116622122212 5311251516213435321122 5 5 4221122222111 0.77040211 0.77040211144120.593598288  0.64674562120 00
 90311111626 3131 1 16166666663 9 92666666 666 20  2 1616 466 93  61111112666153512122222221122222212101131112222666666666 512311223121146622212213 7322151514134424221222 6 9 32326666666610.5724120570.572412057144350.2145319230.2591913215111 64
 1762 911626 4112 6 1612 31666410 5623 666 516 54  5 1616 566 72  64432662666154212222222221112212222 41101111121122222222 332312222231226612222312 72521413 9233524221122 5 7 21126666666610.4705357190.470535719233480.5594037260.7990138938111 97
 39821011626 636666 1612 12666511 261166 61066 32  36666666666666662211222666141222222222211222222222 81111221222666666666 32232122233122 412221213 5222141410233233321122 7 7 52112122222210.2948254460.294825446244480.3225082450.4148885458111 65
 7352 911626 4112 5 1611661666511 161666 6 866 32  3 1616 916104  24432661666163221122211221122222222 81121222222666666666 33221322132114 221211122 6211266512233424221222 5 4 41226666666610.4836894510.483689451244460.6675828250.9430289286111 97
 76811311626 4112 7 6226666661410 466666881166 36  3 6226 461 83  43211211666162222222222212221222222 91121112212666666666 438324223242316622212112 72221515 9234534221222 7 8 21126666666611.6138644421.613864442155350.5549766920.5757189585111 97
 72221211626 4112 7 62266666613 9 5666 666 516 54  5 6226 561 41  43211211666133522222222212221222222 61101212112666666666 412423213322216622122213 7122141312234424221222 1 4 22426666666612.9111683992.911168399255350.883461537 0.988636645111 54
 73221319626 536666 62266666612 7 5666 466 636 46  46666666666666661111211666153222222222212221222222 81 91112222666666666 412321212233116622122213 52221414 9234534321222 1 1 61126666666610.6846054580.684605458266220.2186238470.1865258172111 64
 4941 811626 411299 1611661666511 5616 566 146 36  3 1616 166115  44541342666155222121111221222222222 32101222222666666666 312311111222116621222213 5241251516234534221222 8 6 61126666666610.4476689950.447668995133460.7609214521.1063302146112 60
 74421119626 4112 6 1612 326661 5 16236688 966 51  5 1616 566 11  64412662666145122222222211222212222 31102222222666666666 122323212222216612222113 4231261516232423321122 5 3 61111222222110.9578356680.957835668244161.0478303431.7076893626400 00
 8951 93322677112 4776766666663 86666666666666666666 1616 666 83  545426631 1143222222222213333333333 12 53333321222222221 57221722282115 222211414 6444163116232244421171 5 8 76626666666612.4238710772.423871077133133.5291586463.8902433933111 97
 91021011626 536666 1611662666511 5616 5661146 36  366666666666666622226632 4234322221222221222222221 91121221222666666666 313212222232149922121213 32221513 9232433321222 4 2 41226666666610.8872325970.887232597244410.8051595951.0032825921111108
 70411211626 4112 7 1611662666511 161666 6 966 41  4 1616 166115  443126632 5254422211222221222222212101131112112666666666 522311212242326622112111 22312615 4133323221222 7 8 13526666666611.0292964561.029296456155410.9711736070.9632347991111108
 83811411626 4112 7 62266666613 9 5666 5661146 36  3 6226 561 83  31111215666145122222121222221222222102121122112666666666 422323123211226612222112 3341251516124434421212 5 8 32126666666611.0553042991.055304299166320.5868966220.4841935972120 00
 66311319626 4112 7 6226666661511 82666666 165 20  2 6226 821104  13212661666152122222112222221222212101121212112666666666 512311121223226621112412 6332121312124434321212 6 7 22226666666610.6079745080.607974508166420.5200647210.4265293142112100
 36011019626 4112 2 16116626663 8 161666 6 866 32  3 1616 566104  44421231666155222222222211222221212101131111122666666666 432311212221216622112122 3232156416233435221222 6 8 51126666666610.7455285350.745528535144360.758057346 0.998560996211 23
 88211011626 4112 6 62266666612 6 91666666 161 36  3 1616 666104  53211211666155122212222221211222222 42 81122222666666666 312321222111116622212122 11512565 6233424221122 7 8 32212222221111.0356079291.035607929144250.2525452260.2925084475221 12
 59811011626 4112 7 1611661666410 5616 566 746 36  3 1616 826115  33211231666165222222112221122221212101131111122666666666 513311221232226622122212 32331525 6232343321222 5 5 31126666666610.4183389860.418338986144470.7659689360.8285412187112 72
 6501 911626 336666 16116626661 1 261666 4 466 51  56666666666666661111215666234322222222211222222222 61 81222222666666666 433322222231146622122122 7351256513234525221222 7 8 61112122222110.8376782690.837678269133120.7014703610.8485716572111 87
 93711211626 4112 7 32266662663 8 5666 566 746 36  3 1616 166104  44311321666185222222222211212222212 91121111122666666666 422322211512319922211212 5232151416234534321222 5 4 61126666666610.4262581320.426258132155340.4593982140.4381316634120 01
  762 811626 136666 16116626662 7 361666 41066 51  56666666666666661112662666351522222222211222222222993771211222666666666 323421222232136622122313 5242141416223433221122 588 41126666666610.7861175830.786117583233230.5391044290.5358341383111 97
 33211219626 4112 7 16116616662 6 5616 266 126 61  6 8223 461 62  54312661666155222222222211222122222 41101112222666666666 331312222322126622122111 5311251516233424221222 5 9 41326666666611.0716090191.071609019155220.4043404330.3161796332111 87
 6821 811626 3232 2 1611662666410 5616 266 136 61  66666666666666662212661666165222122122221221222222 81111212221212222222 322222221132116622122112 9112151513233434221222 8 9 76611122221110.7702699770.770269977133380.6746444910.8985797568111 97
  722 911626 536666 32266661663 9 466666 51166 51  566666666666666622211231 5232522222222212212222221 22 52122221222222221 222324222333146622122323 5125166316135525121221 1 1 42126666666610.5974054810.597405481244380.4248708530.5498111018111 65
  5211211626 4112 7 62266666613 9 266666 21166 46  4 1616 466 72  43211211666165222222222211221222222 81111212122666666666 521411212323216622112113 22512615 4234525221222 4 9 22226666666611.4414706871.441470687155310.884248003  0.88221681111108
 75121411626 4112 7 6226666661511 5666 566 746 32  3 6226 561115  33211111666165522222222212221222222 91111222212666666666 412411228322216622122111 33121515151334242212217788 4112666666661 0.68034031 0.68034031266450.3045568550.3426832865300 01
 9011 911626 4112 5 16116626662 7 261666 4 166 51  5 8116 266 93  54432662666154222222111221222211222 42101211111221222222 322321222112216621222113 12121515 6132324221222 688 61126666666611.0283008991.028300899144260.6803284780.8591359726111 86
 82011122619 4112 5 16116626661 1 6616 1661136 61  6 1616 666 93  53212665666141122222222211222222222102121222222666666666 35232222112114 621221122 5231266514234434321222 4 6 76626666666611.3261387441.326138744144161.6439034292.4835959076111 65
 77821411626 736666 62266666611 1 5666 366 326 66  666666666666666611113131 5255422111112122221221222993882222221222212222 112321121222116612222114 33221515 4111342421222 2 8 61126666666613.3780904763.378090476266133.5143656383.2687081043111 97
 2442 511626 2122 3 1616666666410 916666661166 46  4 1616 466 83  432126632 7223322222222211122222222 82111111222666666666 412322222232246622212123 62312665 9233424121222 4 7 41326666666610.8555653630.855565363222320.8404591151.0108159472111 87
 2692 711626 2122 6 72266663612 7 6666 2661116 56  5776766666 8366644326686661922999999999933333333339937733333296666666669978727778899986699999778777921767777755555882787777 76676666666610.9983832350.998383235233331.0522574871.0909598963111 86
 64021211626 736666 62266666611 4 6666 1661116 46  466666666666666611126632 4152122222222212221222222 42 62221222666666666 212222222111226621222213 52221515 7223434221212 5 8 31226666666610.8211209170.821120917255120.5122942220.5169884322211 43
 74111011626 4112 7 16116626663 9 161666 31166 46  4 1616 166115  44422661666175222222222211222212222 61121112222666666666 422322212221116622122113 9131261514234525221222 7 9 41226666666610.4370290210.437029021144370.5202414760.5660748737112 72
 7001 911626 4112 7 1611662666511 161666 51166 51  5 1616 166115  44532662666183122222121221222211212 71121222222666666666 43231321122212 222121112 82321515 9222534221222 5 8 61126666666610.4025137810.402513781133420.4252569340.4458949542112 90
 7192 711626 136666 1611662666511 5616 566 846 36  36666666666666661112662666221322222222211222222222101122121222666666666 513312114233346622112412 7222121210132232321222 3 1 4112666666661 0.67098512 0.67098512222411.072463484 1.568401681111108
 14611011626 1132 3 16116626661 1 461666 21166 61  6 3221 466 62  632126631 5232322212222223222222222 51 91222222666666666 321322222332226621222213 52121414 6235525121222 6 4 61126666666611.5115920241.511592024144150.6906647510.9570352215111 97
 5711 911626 4112 7 1611661666410 5616 566 846 36  3 3221 566 93  54432662666155121222112221212222222 61121222122666666666 432321211332226622122123 5331266516124433321222 5 5 61126666666610.4920226730.492022673133380.4309403140.5739826638111 97
 2702 811626 4112 6 1612 52666511 161166 6 866 32  3 1616 166115  34542661666195222222222211222112222 81131112112666666666 512311222112216622112224 71421464 9223525221222 5 4 5222666666661 0.44724597 0.44724597233460.670875413 1.052204346111 97
 23711413626 1232 4 6226666661410 5666 566 846 36  36666666666666661111311666144222222121222221222222 51 61122221222222221 33222122111111 212221213 4555154516112242521211 6 9 76612212222210.5910009750.591000975166480.6446287950.6676298488111 75
