"DEPCOM";"PTOT"
"02110";2239
"02111";710
"02112";558
"02114";1572
"02115";195
"02116";146
"02117";66
"02118";127
"02119";332
"02120";195
"02121";243
"02122";54
"02123";303
"02124";653
"02125";203
"02126";456
"02127";192
"02128";1504
"02129";19
"02130";193
"02131";1873
"02132";197
"02133";406
"02134";867
"02135";1162
"02136";128
"02137";155
"02138";193
"02139";442
"02140";452
"02141";1782
"02142";246
"02143";189
"02144";144
"02145";545
"02146";89
"02148";256
"02149";64
"02150";62
"02151";115
"02152";89
"02153";765
"02154";363
"02155";170
"02156";256
"02157";839
"02158";278
"02159";287
"02160";543
"02162";285
"02163";2597
"02164";323
"02165";1651
"02166";354
"02167";885
"02168";15347
"02169";83
"02170";125
"02171";88
"02172";250
"02173";11772
"02174";824
"02175";158
"02176";205
"02177";141
"02178";106
"02179";387
"02180";715
"02181";80
"02182";121
"02183";185
"02184";354
"02185";397
"02186";1351
"02187";1120
"02188";148
"02189";354
"02190";524
"02191";508
"02192";371
"02193";64
"02194";188
"02195";919
"02196";314
"02197";543
"02198";230
"02199";618
"02200";113
"02201";438
"02203";1295
"02204";67
"02205";239
"02206";77
"02207";215
"02208";273
"02209";697
"02210";362
"02211";289
"02212";705
"02213";340
"02214";61
"02215";834
"02216";300
"02217";1002
"02218";626
"02219";203
"02220";435
"02221";151
"02222";30
"02223";300
"02224";349
"02225";85
"02226";1861
"02227";127
"02228";337
"02229";69
"02230";189
"02231";936
"02232";358
"02233";144
"02234";83
"02235";116
"02236";337
"02237";1500
"02238";1830
"02239";1238
"02240";238
"02241";100
"02242";645
"02243";2911
"02244";63
"02245";1786
"02246";612
"02248";156
"02249";101
"02250";74
"02251";27
"02252";71
"02253";358
"02254";130
"02255";148
"02256";126
"02257";435
"02258";370
"02259";396
"02260";652
"02261";391
"02262";213
"02263";113
"02264";738
"02265";98
"02266";47
"02267";290
"02268";648
"02269";155
"02270";163
"02271";131
"02272";77
"02273";214
"02274";197
"02275";321
"02276";120
"02277";341
"02278";28
"02279";555
"02280";401
"02281";258
"02282";422
"02283";285
"02284";100
"02286";860
"02287";1013
"02288";346
"02289";413
"02290";2760
"02291";411
"02292";1279
"02293";555
"02294";210
"02295";856
"02296";1203
"02297";120
"02298";1439
"02299";558
"02302";322
"02303";666
"02304";2847
"02305";3032
"02306";526
"02307";2077
"02308";480
"02309";677
"02310";252
"02311";124
"02312";1110
"02313";456
"02315";1678
"02316";132
"02317";220
"02318";1388
"02319";479
"02320";241
"02321";906
"02322";385
"02323";131
"02324";280
"02326";478
"02327";164
"02328";512
"02329";422
"02330";505
"02331";113
"02332";266
"02333";163
"02334";2952
"02335";187
"02336";990
"02337";172
"02338";257
"02339";686
"02340";5252
"02341";271
"02342";134
"02343";81
"02345";41
"02346";666
"02347";448
"02349";57
"02350";135
"02351";112
"02352";560
"02353";294
"02354";82
"02355";965
"02356";246
"02357";72
"02358";345
"02359";1328
"02360";2722
"02361";4731
"02362";241
"02363";407
"02364";257
"02366";321
"02367";132
"02368";578
"02369";242
"02370";603
"02371";1590
"02372";358
"02373";200
"02374";868
"02375";163
"02376";170
"02377";139
"02378";136
"02379";219
"02380";25
"02381";8798
"02382";1375
"02383";1456
"02384";55
"02385";155
"02386";232
"02387";1028
"02388";228
"02389";652
"02390";269
"02391";206
"02392";305
"02393";143
"02395";143
"02396";65
"02397";1254
"02398";281
"02399";606
"02400";148
"02401";195
"02402";37
"02403";263
"02404";188
"02405";538
"02406";135
"02407";191
"02408";24704
"02409";265
"02410";245
"02411";205
"02412";100
"02413";246
"02414";202
"02415";161
"02416";424
"02417";108
"02418";218
"02419";268
"02420";833
"02421";104
"02422";810
"02423";421
"02424";105
"02425";173
"02426";544
"02427";140
"02428";74
"02429";121
"02430";1292
"02431";386
"02432";188
"02433";223
"02435";77
"02438";255
"02439";1181
"02440";139
"02441";194
"02442";91
"02443";199
"02444";119
"02445";283
"02446";119
"02447";147
"02448";121
"02449";70
"02450";371
"02451";126
"02452";238
"02453";403
"02454";408
"02455";202
"02456";302
"02457";419
"02458";818
"02459";167
"02460";196
"02461";377
"02462";236
"02463";87
"02464";366
"02465";499
"02466";132
"02467";50
"02468";2251
"02469";482
"02470";437
"02471";130
"02472";415
"02473";213
"02474";397
"02476";661
"02477";963
"02478";262
"02480";309
"02481";478
"02482";53
"02483";514
"02484";522
"02485";94
"02486";107
"02487";632
"02488";154
"02489";335
"02490";129
"02491";321
"02492";463
"02493";224
"02494";127
"02495";1041
"02496";102
"02497";1151
"02498";762
"02499";43
"02500";809
"02501";89
"02502";1328
"02503";830
"02504";1632
"02505";203
"02506";194
"02507";32
"02508";150
"02509";159
"02510";150
"02511";290
"02512";273
"02513";139
"02514";709
"02515";57
"02516";66
"02517";302
"02518";304
"02519";187
"02520";735
"02521";1370
"02522";74
"02523";73
"02524";698
"02525";579
"02526";94
"02527";455
"02528";229
"02529";181
"02530";77
"02531";120
"02532";981
"02533";114
"02534";49
"02535";114
"02536";104
"02537";196
"02538";66
"02539";699
"02540";1233
"02541";421
"02542";87
"02543";2075
"02544";613
"02545";187
"02546";193
"02547";67
"02548";379
"02549";844
"02550";110
"02551";116
"02552";186
"02553";244
"02554";1041
"02555";2137
"02556";81
"02557";128
"02558";2584
"02559";467
"02560";247
"02561";158
"02562";217
"02563";166
"02564";500
"02565";290
"02566";1109
"02567";290
"02568";158
"02569";466
"02570";179
"02571";724
"02572";501
"02573";63
"02574";1438
"02575";1683
"02576";332
"02577";85
"02578";85
"02579";125
"02580";818
"02581";320
"02582";75
"02583";54
"02584";124
"02585";258
"02586";141
"02587";349
"02588";70
"02589";260
"02590";170
"02591";134
"02592";190
"02593";1042
"02594";140
"02595";129
"02596";772
"02598";660
"02599";267
"02600";355
"02601";197
"02602";1727
"02604";83
"02605";182
"02606";70
"02607";79
"02608";468
"02609";21
"02610";729
"02612";128
"02613";608
"02614";258
"02615";348
"02616";208
"02617";505
"02618";697
"02619";656
"02620";352
"02621";380
"02622";53
"02623";99
"02624";281
"02625";142
"02626";326
"02627";123
"02628";215
"02629";300
"02631";415
"02632";59
"02633";60
"02634";81
"02635";148
"02636";201
"02637";296
"02638";236
"02639";346
"02640";159
"02641";112
"02642";179
"02643";773
"02644";349
"02645";197
"02647";62
"02648";1958
"02649";305
"02650";359
"02651";105
"02652";108
"02653";502
"02654";82
"02655";123
"02656";394
"02657";247
"02658";235
"02659";507
"02660";39
"02661";252
"02662";315
"02663";224
"02664";120
"02665";302
"02666";1001
"02667";215
"02668";1050
"02670";152
"02671";287
"02672";264
"02673";444
"02674";48
"02675";133
"02676";1722
"02677";242
"02678";68
"02679";149
"02680";2288
"02681";273
"02682";113
"02683";113
"02684";3364
"02685";119
"02686";381
"02687";332
"02688";50
"02689";42
"02690";81
"02691";53845
"02693";220
"02694";639
"02695";80
"02696";77
"02697";385
"02698";101
"02699";284
"02701";716
"02702";607
"02703";1091
"02704";248
"02705";214
"02706";563
"02707";180
"02708";212
"02709";407
"02710";756
"02711";300
"02712";146
"02713";273
"02714";352
"02715";49
"02716";285
"02717";583
"02718";124
"02719";2034
"02720";2034
"02721";477
"02722";28516
"02723";100
"02724";61
"02725";140
"02726";187
"02727";230
"02728";265
"02729";89
"02730";270
"02731";169
"02732";104
"02734";276
"02735";17
"02736";166
"02737";560
"02738";13544
"02739";333
"02740";220
"02741";542
"02742";104
"02743";161
"02744";71
"02745";124
"02746";664
"02747";85
"02748";942
"02749";221
"02750";598
"02751";144
"02752";278
"02753";329
"02754";185
"02755";586
"02756";668
"02757";531
"02758";2008
"02759";366
"02760";145
"02761";204
"02762";145
"02763";215
"02764";88
"02765";256
"02766";237
"02767";323
"02768";538
"02769";911
"02770";785
"02772";156
"02773";39
"02774";116
"02775";944
"02776";552
"02777";151
"02778";99
"02779";220
"02780";1379
"02781";457
"02782";220
"02783";138
"02784";144
"02785";1097
"02786";128
"02787";258
"02788";463
"02789";2579
"02790";234
"02791";251
"02792";157
"02793";121
"02794";186
"02795";1630
"02796";83
"02797";176
"02798";1227
"02799";420
"02800";316
"02801";270
"02802";208
"02803";146
"02804";185
"02805";2464
"02806";289
"02807";651
"02808";295
"02809";71
"02810";10674
"02812";212
"02813";260
"02814";166
"02815";432
"02816";530
"02817";82
"02818";1170
"02819";116
"02820";1693
"02821";688
"02822";392
"02823";74
"02824";373
"02826";366
"02827";318
"02828";93
"02829";42
"02830";953
"02831";378
"02832";193
"02833";497
"02834";168
"03001";2908
"03002";309
"03003";983
"03004";255
"03005";337
"03006";635
"03007";357
"03008";373
"03009";134
"03010";429
"03011";409
"03012";324
"03013";3960
"03014";135
"03015";325
"03016";143
"03017";191
"03018";691
"03019";1638
"03020";293
"03021";226
"03022";1010
"03023";8635
"03024";240
"03025";1327
"03026";765
"03027";938
"03028";371
"03029";777
"03030";849
"03031";292
"03032";245
"03033";185
"03034";502
"03035";213
"03036";2566
"03037";259
"03038";515
"03039";388
"03040";1119
"03041";322
"03042";528
"03043";1180
"03044";1497
"03045";879
"03046";1043
"03047";409
"03048";1307
"03049";427
"03050";183
"03051";303
"03052";1094
"03053";1091
"03054";235
"03055";985
"03056";376
"03057";205
"03058";237
"03059";357
"03060";1010
"03061";396
"03062";357
"03063";1008
"03064";180
"03065";543
"03066";336
"03067";142
"03068";106
"03069";313
"03070";134
"03071";247
"03072";493
"03073";639
"03074";658
"03075";169
"03076";234
"03077";128
"03078";233
"03079";303
"03080";687
"03081";331
"03082";6158
"03083";584
"03084";2036
"03085";648
"03086";338
"03087";589
"03088";325
"03089";153
"03090";301
"03091";446
"03092";627
"03093";1176
"03094";3301
"03095";12682
"03096";83
"03097";361
"03098";4432
"03099";394
"03100";1390
"03101";8742
"03102";3038
"03103";1068
"03104";1175
"03105";346
"03106";1322
"03107";1271
"03108";381
"03109";778
"03110";980
"03111";1108
"03112";662
"03113";544
"03114";287
"03115";338
"03116";194
"03117";475
"03118";5823
"03119";411
"03120";710
"03121";659
"03122";236
"03124";218
"03125";126
"03126";1169
"03127";622
"03128";2642
"03129";316
"03130";278
"03131";544
"03132";563
"03133";513
"03134";192
"03135";402
"03136";229
"03137";268
"03138";3141
"03139";315
"03140";1159
"03141";147
"03142";245
"03143";99
"03144";212
"03145";737
"03146";155
"03147";167
"03148";349
"03149";440
"03150";207
"03151";161
"03152";235
