"UID_ANONYM_COVID","coco5_q04","coco5_q06_1","coco5_q06_10","coco5_q06_2","coco5_q06_3","coco5_q06_4","coco5_q06_5","coco5_q06_6","coco5_q06_7","coco5_q06_8","coco5_q06_9","coco5_q07_1","coco5_q07_2","coco5_q07_3","coco5_q09","coco5_q10","coco5_q16","coco5_q17","coco5_q18","coco5_q19","coco5_q20","coco5_q21","coco5_q25_a","coco5_q37","coco5_q38_modifie","coco5_q64_modifie","coco5_q68","coco5_q79","coco5_q156","coco5_q157_1","coco5_q157_2","coco5_q157_3","coco5_q157_4","coco5_q157_5","coco5_q157_6","coco5_q157_7","coco5_q157_8","coco5_social_policy_DO","coco5_q158","coco5_q159","coco5_q160_1","coco5_q160_2","coco5_q160_3","coco5_q160_4","coco5_q160_5","coco5_q160_6","coco5_q160_7","coco5_q160_8","coco5_q161_1","coco5_q161_2","coco5_q161_3","coco5_q161_4","coco5_q161_5","coco5_q161_6","coco5_q162_1","coco5_q162_2","coco5_q162_3","coco5_q162_4","coco5_q162_5","coco5_q162_6","coco5_q162_7","coco5_q163_1","coco5_q163_2","coco5_q163_3","coco5_q163_4","coco5_q163_5","coco5_q163_6","coco5_q163_7","coco5_q163_8","coco5_q163_9","coco5_q164","coco5_q165_1","coco5_q165_2","coco5_q166","coco5_q167","coco5_q168","coco5_q169_1","coco5_q169_2","coco5_q169_3","coco5_q169_4","coco5_q169_5","coco5_q169_6","coco5_q169_7","coco5_q169_8","coco5_q169_9","coco5_q170_1","coco5_q170_2","coco5_q170_3","coco5_q170_4","coco5_q170_5","coco5_q171","coco5_q172","coco5_q173_1","coco5_q173_2","coco5_q173_3","coco5_q173_4","coco5_FL_26_DO_exp","coco5_q178_a_1","coco5_q178_a_2","coco5_q178_a_3","coco5_q178_a_4","coco5_q178_b_1","coco5_q178_b_2","coco5_q178_b_3","coco5_q178_b_4","coco5_q179_a_1","coco5_q179_a_2","coco5_q179_a_3","coco5_q179_a_4","coco5_q179_a_5","coco5_q179_a_6","coco5_q179_b_1","coco5_q179_b_2","coco5_q179_b_3","coco5_q179_b_4","coco5_q179_b_5","coco5_q179_b_6","coco5_q180_c","coco5_q181_c","coco5_q182_c","coco5_q183","coco5_q184","coco5_q185","coco5_q186","coco5_q187","coco5_SWB","ea17_SWB","ea18_SWB","ea19_SWB","coco5_POIDS_INIT","coco5_PDSPLT_INIT","cal_SEXE","cal_NAT","cal_AGE1","cal_AGE2","cal_DIPL","cal_ZEAT","coco5_POIDS","coco5_PDSPLT","eayy_A1","eayy_A2A_rec","eayy_A3_rec","eayy_A3B_rec","eayy_A3C_rec","eayy_A3D","eayy_A3E_rec","eayy_A4","eayy_A5","eayy_A5A","eayy_A5C","eayy_A5C_rec","eayy_B1","eayy_B10A","eayy_B10AA","eayy_B10ACJT","eayy_B11","eayy_B11CJT","eayy_B18_rec","eayy_B18C","eayy_B18CCJT","eayy_B18CJT_rec","eayy_B1A","eayy_B1ACJT","eayy_B1B","eayy_B1BCJT","eayy_B1CJT","eayy_B2_rec","eayy_B25","eayy_B2CJT_rec","eayy_B4_rec","eayy_B4CJT_rec","eayy_B5_rec","eayy_B5A","eayy_B5B_rec","eayy_B5C","eayy_B6A_rec","eayy_B6B_rec","eayy_B7B_rec","eayy_B8_rec","eayy_B9_rec","eayy_C1_rec","eayy_C1JEU","eayy_C8","eayy_C8A_rec","eayy_C8B_rec","eayy_D1_rec","eayy_D1A","eayy_D2","eayy_D3","eayy_D4_rec","eayy_D5_rec","eayy_D6","eayy_D7_1","eayy_D7_10","eayy_D7_2","eayy_D7_3","eayy_D7_4","eayy_D7_5","eayy_D7_6","eayy_D7_7","eayy_D7_8","eayy_D7_9","eayy_E1A","eayy_E1B","eayy_E1C","eayy_E1D","eayy_E1E","eayy_E1F","eayy_E1G","eayy_E1H","eayy_E1I","eayy_E1J","eayy_E2A_rec","eayy_E2AUC","eayy_E2AUC_SOURCE","eayy_E3A","eayy_E3B","eayy_E3C","eayy_E3D","eayy_E3E","eayy_E4","eayy_E5","eayy_E5A","eayy_E5B_1","eayy_E5B_2","eayy_E5B_3","eayy_E5B_4","eayy_E5B_5","eayy_E5B_6","eayy_E5B_7","eayy_E5B_8","eayy_E5B_9","eayy_F1_rec","eayy_F3","eayy_F4","eayy_F5","eayy_F6_rec","eayy_F7","eayy_F8","eayy_G1","eayy_G2","eayy_G3A","eayy_G3B","eayy_G3C","eayy_G4","eayy_G5","eayy_G6_1","eayy_G6_2","eayy_G6_3","eayy_G6_4","eayy_H1A","eayy_H2","eayy_H4","eayy_I1","eayy_I8","eayy_J1","eayy_K3","eayy_PCS18","eayy_PCS6","eayy_PCS6CJT","eayy_TYPMEN5","VAGUE","insee_NUTS1","insee_CATAEU2010","insee_TAU2014","insee_TUU2014"
266,2,2,2,2,1,2,2,2,2,2,2,2,2,1,3,6666,3,4,3,4,3,3,1,4,2,9,3,9,9,3,3,3,2,3,1,2,3,1,2,6666,4,1,1,4,3,2,3,2,1,2,1,2,1,1,1,2,1,1,2,2,2,3,5,5,4,3,3,5,6666,6666,2,4,1,1,2,1,2,1,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,3,3,3,1,1,1,1,3,6666,6666,6666,6666,9999,1,4,2,6,4,6666,6666,6666,6666,6666,6666,9,7,8,6,3,2,1,5,0.608336962464313,0.79292217224937,0.761999675368443,0.523888618362591,0.277589141,"0,968293891",1,1,4,4,4,6,0.249762407587288,"0,504405507001837",1,10,1,1,6,2,6,4,1,1,2,7,1,6,6,6,6,6,11,5,5,11,6,6,1,1,1,5,1,9,6,2,1,1,6,66,5,66,11,4,6,3,1,1,3,2,1,6,66,1,5,5,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,13,10,1,1,2,1,1,2,1,6,2,6,6,6,6,6,6,6,6,6,2,2,3,1,3,2,1,2,2,2,2,2,4,1,2,2,1,2,2,1,2,3,5,2,5,36,3,3,4,2019,6,111,9,7
1680,2,2,1,2,2,2,2,2,2,2,2,1,2,2,3,6666,3,3,3,3,3,3,3,0,4,6,2,5,7,3,3,3,3,3,3,3,3,2,6666,2,4,1,2,3,4,3,4,3,3,2,1,2,2,2,2,2,2,2,2,2,1,3,3,4,3,3,3,3,6666,6666,2,1,2,1,1,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,1,3,3,3,3,2,6666,6666,6666,6666,3,2,1,2,6666,6666,6666,6666,6666,6666,3,3,4,5,3,4,7,5,7,4,4,2,2,6,0.50005019395087,0.686825286342545,0.574502254538652,0.579330461169389,0.137458147,"0,821120917",2,1,5,5,1,2,0.134521532441165,"0,700515301096779",2,13,1,1,6,2,6,4,1,1,2,7,6,6,6,6,1,1,4,1,2,7,2,2,2,2,6,5,6,4,6,6,6,6,6,66,2,66,5,1,6,2,1,1,2,1,1,6,66,1,7,5,1,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,1,2,9,5,2,1,1,1,2,2,2,4,2,6,6,6,6,6,6,6,6,6,3,2,3,2,3,2,2,2,2,1,1,1,2,2,1,2,2,2,1,1,1,3,7,2,5,51,5,5,3,2019,2,300,0,0
59,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,1,2,3,4,3,4,2,3,6,1,4,3,6,7,3,3,2,3,3,3,3,3,2,6666,2,3,2,2,3,3,2,3,2,2,2,1,1,1,2,1,1,1,1,1,1,2,3,4,4,4,3,3,4,4,4,2,1,2,2,2,2,1,1,2,1,2,2,1,1,2,2,2,2,2,1,2,2,2,2,3,3,1,2,1,2,2,6666,6666,6666,6666,5,5,2,3,3,5,6666,6666,6666,6666,6666,6666,6,5,6,4,3,2,1,5,0.354034907545631,0.459446115879232,0.398602846303464,0.434748369276649,2.400760679,"1,858308426",1,1,4,4,3,8,2.24819042538417,"2,42985693542294",1,9,1,1,6,2,6,3,1,3,2,3,1,6,6,6,6,6,10,4,5,11,6,6,1,1,1,4,2,1,6,6,1,1,6,66,66,3,7,6,6,3,2,1,1,2,2,6,66,1,5,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,1,2,2,2,2,12,8,1,1,3,1,1,1,2,4,2,6,6,6,6,6,6,6,6,6,4,2,3,2,2,2,2,1,1,2,1,2,1,2,2,2,1,2,2,1,2,2,7,2,4,46,4,3,4,2019,8,112,9,0
28,3,2,2,2,1,1,2,2,2,2,2,1,2,2,3,6666,4,5,2,5,2,4,1,0,4,3,1,8,7,3,4,4,4,4,3,3,3,2,6666,2,4,2,2,3,2,2,4,2,2,3,1,3,1,3,2,1,1,1,2,2,2,4,4,4,4,4,4,4,6666,6666,2,3,1,1,9999,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,3,3,2,2,2,6666,6666,6666,6666,3,2,1,2,6666,6666,6666,6666,6666,6666,2,2,2,9999,3,2,7,6,6,2,4,1,1,4,0.848800653460241,0.696651090620104,0.567396124779567,0.790887069484909,0.323455487,"0,462108146",1,1,5,5,4,8,0.2218372768793,"0,2512321188675",1,13,1,1,6,2,6,4,1,1,2,7,6,6,6,6,1,1,11,5,5,11,2,2,2,2,6,1,6,1,6,6,6,6,6,66,66,6,9,6,6,2,1,1,2,2,1,6,66,1,7,5,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,12,10,1,1,1,1,2,1,2,5,2,6,6,6,6,6,6,6,6,6,1,2,4,1,1,1,1,1,3,3,3,2,1,2,2,1,2,2,2,1,2,2,4,3,1,32,3,3,3,2019,8,111,9,7
675,1,2,2,2,1,2,1,2,2,2,2,2,2,1,3,6666,3,5,2,3,2,4,1,2,4,4,2,4,10,4,4,4,4,4,3,3,3,1,2,6666,2,2,1,3,2,3,3,3,2,3,1,2,1,1,1,2,1,1,2,2,2,4,5,5,5,5,2,4,6666,6666,3,3,1,1,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,1,2,1,1,3,3,3,1,2,2,2,1,6666,6666,6666,6666,7,6,1,1,2,6,6666,6666,6666,6666,6666,6666,7,5,7,5,4,1,1,5,0.742147535549234,9999,9999,0.664401811334043,0.440328226,"NA",2,1,2,2,4,7,0.74244893994251,"NA",2,6,1,1,6,2,6,2,1,2,2,4,1,6,6,6,6,6,11,5,5,11,6,6,1,1,1,1,2,5,6,6,2,2,1,1,66,6,8,6,6,2,1,2,6,6,2,6,66,2,4,2,5,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,13,10,1,1,1,2,1,2,1,5,2,6,6,6,6,6,6,6,6,6,1,3,3,1,2,2,2,2,6,4,3,2,2,1,2,2,1,1,2,1,2,3,2,2,4,32,3,3,3,2019,7,111,8,6
792,2,2,1,2,2,2,2,2,2,2,2,1,2,2,3,6666,4,4,2,5,2,3,1,6,4,7,4,3,6,2,4,3,4,4,1,1,3,1,2,6666,3,2,2,4,3,3,4,3,1,1,2,3,2,2,2,1,1,2,2,1,2,3,4,4,2,2,3,5,1,2,2,1,2,2,2,1,2,2,2,2,2,1,1,1,2,1,1,2,2,2,2,1,2,2,3,4,2,6666,6666,6666,6666,2,1,1,1,6666,6666,6666,6666,6666,6666,1,2,2,9999,1,1,4,4,5,3,5,2,2,2,0.781928588813321,0.735493366940928,0.656641604010025,0.74464495486796,0.355205259,"2,811232805",1,1,2,2,3,5,0.602030662892983,"4,80940500504213",1,5,1,1,6,2,6,2,1,2,2,3,1,6,6,6,6,6,11,5,4,10,6,6,1,1,1,5,2,3,6,6,4,2,3,3,1,66,1,4,6,2,1,2,6,6,3,2,4,2,3,1,3,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,9,5,1,1,1,1,2,2,2,3,2,6,6,6,6,6,6,6,6,6,1,2,3,2,2,2,2,1,2,3,2,2,4,2,2,1,2,2,1,1,2,2,2,2,3,66,6,5,3,2019,5,111,8,6
238,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,3,4,2,5,2,2,2,6,3,3,2,2,5,3,3,3,4,4,3,3,4,1,2,6666,4,1,3,5,5,3,4,3,2,2,1,2,2,3,2,1,1,1,2,2,2,3,4,4,3,3,2,4,5,5,4,3,2,1,2,1,2,2,1,2,1,2,1,2,2,1,1,2,2,2,1,2,2,3,3,3,2,6666,6666,6666,6666,4,1,2,3,6666,6666,6666,6666,6666,6666,2,1,1,6,1,2,4,7,7,4,5,1,2,1,0.725244090655331,0.723952748938304,0.624777503583327,0.815206925106399,0.250946024,"0,576733292",2,1,2,2,4,5,0.351515935658885,"1,00149426751435",2,6,1,1,6,2,6,4,1,1,2,4,1,6,6,6,6,6,11,5,4,10,6,6,1,1,1,5,2,5,6,6,1,1,6,66,6,66,11,2,6,3,2,1,1,2,3,2,7,2,9,2,5,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,9,4,2,2,1,2,2,2,2,5,2,6,6,6,6,6,6,6,6,6,1,3,3,2,1,2,1,1,5,2,2,5,1,2,2,2,1,2,1,3,1,3,8,2,5,41,4,4,4,2019,1,111,10,8
7,3,2,1,2,2,2,2,2,2,2,2,1,2,2,3,6666,4,3,3,4,3,3,2,6,3,5,2,5,7,3,3,3,3,3,3,3,3,1,9999,6666,4,2,1,2,2,1,4,2,2,2,1,1,1,1,2,1,1,1,2,2,2,3,3,2,3,3,3,3,3,3,3,2,2,1,2,1,2,2,1,2,1,2,2,2,2,1,2,2,2,2,1,1,2,2,2,3,2,6666,6666,6666,6666,3,2,1,1,6666,6666,6666,6666,6666,6666,3,5,4,4,4,4,5,2,6,2,3,2,2,3,0.570472668129874,0.391403561141623,0.566151933070877,0.472622967957765,0.394095845,"0,743816426",1,2,3,3,3,5,0.67612933399801,"0,837443674532094",1,8,2,3,6,1,2,4,1,1,2,4,1,6,6,1,6,6,10,4,5,11,6,2,1,2,3,6,2,5,6,6,1,1,6,66,5,66,11,3,6,5,4,2,6,6,2,6,66,1,4,3,1,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,1,2,2,2,2,11,5,1,1,1,1,1,2,2,2,2,6,6,6,6,6,6,6,6,6,4,2,3,2,2,2,2,2,1,2,2,1,2,1,2,2,2,1,1,4,1,2,8,3,2,36,3,4,4,2019,5,112,9,2
598,2,2,1,2,2,2,2,2,2,2,2,1,2,2,3,6666,4,4,2,4,2,3,2,4,4,7,2,5,7,3,3,3,3,3,3,3,3,2,6666,1,3,2,2,3,3,2,3,2,2,3,1,1,1,1,2,2,1,1,2,1,2,4,4,2,4,4,4,4,4,4,2,2,9999,1,1,1,2,2,1,2,1,2,2,2,2,2,1,2,2,2,2,1,3,2,3,3,2,6666,6666,6666,6666,2,3,3,2,6666,6666,6666,6666,6666,6666,1,1,6,9999,1,1,7,3,7,5,4,1,1,6,0.731859581158563,0.802860540120016,0.832648305725895,0.847768433157537,0.12567326,"0,470980772",1,1,3,3,4,8,0.171886910947416,"0,620005107389124",1,9,1,1,6,2,6,2,1,2,2,4,1,6,6,6,6,6,11,5,5,11,6,6,1,1,1,5,2,5,6,6,1,1,6,66,5,66,8,1,6,5,4,1,3,4,2,6,66,1,5,3,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,1,2,2,1,2,12,7,2,1,3,3,3,1,2,4,2,6,6,6,6,6,6,6,6,6,2,3,3,1,4,2,1,2,4,3,2,2,4,1,2,1,1,2,2,1,2,2,5,2,2,36,3,3,4,2019,8,111,9,7
1600,1,2,1,2,2,2,2,2,2,2,2,2,2,1,3,6666,4,5,2,3,2,3,3,0,4,2,1,8,8,4,4,3,4,2,4,4,4,2,6666,1,4,2,1,3,2,4,4,1,2,3,1,2,1,3,2,1,1,1,2,2,2,3,4,4,4,3,3,3,6666,6666,2,3,2,2,9999,1,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,1,2,3,3,3,2,6666,6666,6666,6666,2,4,2,2,6666,6666,6666,6666,6666,6666,2,1,3,9999,2,5,6,6,6,4,5,2,1,4,0.753846698285245,0.757182519016479,0.867247014352566,0.885855555463852,1.238003909,"1,120600791",1,1,5,5,2,8,0.988428916838122,"1,00758163665326",1,12,1,1,6,2,6,4,1,1,2,7,6,6,6,6,1,1,7,2,2,7,2,2,2,2,6,5,6,3,6,6,6,6,6,66,5,66,1,2,6,1,1,1,3,1,1,6,66,1,7,5,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,11,9,1,1,1,1,2,2,2,4,2,6,6,6,6,6,6,6,6,6,1,2,3,1,1,2,1,2,2,3,2,3,1,1,2,2,2,1,1,1,1,2,8,2,2,36,3,5,1,2019,8,111,9,7
747,2,2,1,2,2,2,2,2,2,2,2,2,2,1,3,6666,5,5,3,5,3,2,6,0,4,5,2,7,7,3,4,3,3,4,3,3,3,2,6666,2,4,3,1,3,3,3,3,3,2,2,2,2,2,2,1,2,1,1,2,2,2,4,3,4,3,3,3,4,6666,6666,2,2,3,2,1,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,3,3,3,1,2,2,2,3,6666,6666,6666,6666,5,5,4,4,4,4,6666,6666,6666,6666,6666,6666,6,4,5,3,4,2,1,3,0.762514724160768,0.534028045432946,0.550150073317212,0.605591916124009,0.472495101,"0,587746801",2,1,5,5,1,7,0.551483947876998,"0,491847718938814",2,13,1,1,6,2,6,7,3,6,6,66,6,6,6,6,6,6,7,2,6,66,1,6,1,6,66,5,2,66,6,6,1,2,5,6,6,66,6,2,6,1,1,1,2,1,1,6,66,1,5,5,1,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,8,6,1,1,1,2,2,2,2,3,2,6,6,6,6,6,6,6,6,6,4,2,2,2,1,1,2,1,1,1,1,1,3,2,2,2,2,1,1,2,1,3,7,2,3,54,5,666,1,2019,7,222,1,0
486,2,2,2,2,2,1,2,2,2,2,2,1,2,2,3,6666,5,4,4,4,4,2,2,5,4,2,3,0,10,5,4,5,5,3,5,5,5,2,6666,2,3,1,2,1,2,3,3,3,2,2,2,2,2,2,2,2,2,1,2,2,2,3,3,3,3,3,3,3,3,3,2,2,2,1,9999,1,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,3,9999,3,3,2,6666,6666,6666,6666,1,1,1,1,6666,6666,6666,6666,6666,6666,9999,9999,9999,9999,9999,9999,5,4,6,2,2,4,2,6,0.564897167400076,0.713305515402333,0.591715980401058,0.710743653865729,1.235985644,"1,241443972",2,1,3,3,2,1,1.3704143290036,"1,83483331052737",2,9,1,1,6,2,6,1,3,6,6,66,7,2,6,6,1,6,7,2,6,66,2,6,2,6,66,4,6,66,6,6,6,6,6,66,66,88,11,6,6,6,4,2,6,6,3,1,5,2,9,4,4,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,1,1,2,2,6,1,2,1,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,1,1,2,2,4,2,2,1,2,2,2,1,4,2,2,2,1,2,2,3,2,4,5,3,5,55,5,666,2,2019,1,111,10,8
550,2,2,1,2,2,2,2,2,2,2,2,1,2,2,3,6666,4,4,3,3,3,3,1,0,4,5,3,7,7,2,3,2,2,3,1,3,3,2,6666,1,3,1,1,3,2,1,3,1,3,2,2,2,2,1,2,1,2,1,1,2,2,3,3,5,3,3,3,3,6666,6666,2,2,3,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,3,3,4,3,1,4,2,2,1,6666,6666,6666,6666,2,2,3,5,3,3,6666,6666,6666,6666,6666,6666,4,3,4,3,5,2,2,1,0.592459785256556,0.620170540967805,0.548240799584031,0.523888618362591,0.113613169,"3,517591935",2,1,6,6,1,4,0.101965411028234,"2,24608908005321",2,14,1,1,6,2,6,4,1,1,2,7,6,6,6,6,1,1,5,1,3,9,2,2,2,2,6,6,6,6,6,6,6,6,6,66,6,66,7,1,6,2,1,2,6,6,3,1,5,2,5,4,5,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,9,5,1,1,1,1,2,2,2,2,2,6,6,6,6,6,6,6,6,6,2,2,3,2,1,2,2,2,3,1,1,1,1,2,2,2,1,2,1,1,1,2,8,2,2,55,5,5,3,2019,4,112,9,3
1648,1,2,1,2,2,2,2,2,2,2,2,2,2,1,3,6666,5,5,1,5,1,3,1,0,4,1,2,9,9,3,3,3,3,3,3,3,3,2,6666,2,4,3,3,3,3,3,4,3,3,3,2,2,2,2,2,1,1,1,2,2,2,4,4,4,4,4,3,3,6666,6666,2,3,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,3,2,3,1,2,3,3,2,6666,6666,6666,6666,2,2,2,6,2,2,6666,6666,6666,6666,6666,6666,8,6,8,5,5,2,1,5,0.97750733228901,0.84231265464136,0.74464495486796,0.74464495486796,0.169729853,"0,338458708",1,1,6,6,4,8,0.121013063782433,"0,194304125248827",1,14,1,1,6,2,6,5,2,3,2,2,8,3,6,6,1,6,11,5,6,66,2,6,2,6,66,1,6,66,6,6,6,6,6,66,66,6,88,6,6,1,1,2,6,6,1,6,66,2,5,4,3,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,10,9,1,1,2,1,1,1,2,4,2,6,6,6,6,6,6,6,6,6,2,2,3,2,4,1,1,2,4,2,9,2,4,2,2,1,1,1,1,2,1,2,7,2,2,32,3,666,1,2019,8,111,9,7
1372,3,2,1,2,2,2,2,2,2,2,2,1,2,2,3,6666,4,4,2,4,2,3,1,0,4,1,1,1,6,4,4,4,4,4,4,4,4,1,2,6666,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,4,4,4,3,4,4,6666,6666,3,2,2,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,3,3,3,1,2,2,2,2,6666,6666,6666,6666,2,3,2,9999,2,2,6666,6666,6666,6666,6666,6666,8888,8888,8888,4,5,2,1,6,0.718021217235808,0.799348983472387,0.718287898670936,0.718287898670936,0.411153757,"0,805343291",2,1,5,5,2,7,0.295090922095951,"0,623744169598047",2,12,1,1,6,2,6,7,3,6,6,66,6,6,6,6,1,6,7,2,6,66,2,6,2,6,66,6,6,66,6,6,6,6,6,66,2,66,4,1,6,2,1,1,2,2,1,6,66,1,4,5,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,9,4,1,2,2,1,2,2,2,4,2,6,6,6,6,6,6,6,6,6,3,2,3,1,4,2,1,2,6,2,2,1,2,2,1,2,2,2,1,2,1,3,5,4,1,41,4,666,2,2019,7,112,8,0
626,1,2,1,2,2,2,2,2,2,2,2,1,2,2,3,6666,5,5,1,5,1,3,6,0,4,2,2,5,8,4,4,4,4,4,3,3,3,2,6666,2,3,2,2,2,2,2,3,2,2,1,1,1,1,1,2,2,2,2,2,1,2,3,4,4,4,3,3,3,6666,6666,2,2,3,2,9999,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,3,1,2,3,2,6666,6666,6666,6666,3,3,1,2,6666,6666,6666,6666,6666,6666,2,2,2,7,2,2,5,5,5,4,5,1,2,2,0.97750733228901,0.977812148461405,0.919756856466083,0.965401291373329,0.042847315,"1,536026114",1,1,6,6,3,3,0.029696424075556,"0,324753885440697",1,13,1,1,6,2,6,1,3,6,6,66,6,6,6,6,1,6,10,4,6,66,2,6,2,6,66,2,6,66,6,6,6,6,6,66,66,6,9,6,6,1,1,2,6,6,3,8,5,2,4,5,5,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,7,5,1,1,2,1,2,2,2,4,2,6,6,6,6,6,6,6,6,6,1,2,3,2,1,2,1,3,2,1,2,2,4,2,2,2,1,2,1,2,1,3,5,2,5,32,3,666,1,2019,3,111,9,7
15,2,2,1,2,2,2,2,2,2,2,2,1,2,2,3,6666,4,5,1,5,2,4,2,0,4,1,2,7,8,4,4,3,4,4,3,3,4,2,6666,2,4,1,1,3,2,1,4,1,2,2,1,1,2,2,1,1,1,1,2,2,2,3,3,2,2,3,3,4,6666,6666,2,2,1,1,9999,1,2,2,2,2,2,1,1,1,2,2,2,2,2,1,2,2,2,4,3,3,1,1,1,1,2,6666,6666,6666,6666,2,7,2,5,7,1,6666,6666,6666,6666,6666,6666,5,7,4,4,5,2,1,5,0.911975698905627,0.721842537781828,0.880329941208675,0.773825342720137,0.304862789,"1,383351242",2,1,5,5,3,7,0.17801424615024,"0,787032174811938",2,13,1,1,6,2,6,4,1,1,2,7,6,6,6,6,1,1,8,3,2,6,2,2,2,2,6,4,6,2,6,6,6,6,6,66,66,2,11,6,6,1,1,1,2,1,1,6,66,1,7,5,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,11,9,1,1,1,1,2,1,2,3,2,6,6,6,6,6,6,6,6,6,3,3,4,1,4,2,2,1,4,1,1,2,3,2,2,2,1,2,1,2,1,3,6,2,3,61,6,4,1,2019,7,112,8,2
339,4,2,1,2,2,2,2,2,2,2,2,1,2,2,3,6666,4,4,2,4,3,3,2,6,3,6,2,8,8,3,3,2,4,2,3,3,2,1,2,6666,3,3,1,3,3,3,3,3,2,3,2,2,1,2,2,1,1,1,2,2,2,4,4,4,4,4,4,4,5,4,4,2,3,1,1,1,2,2,2,1,1,2,1,2,2,2,1,2,1,2,2,2,3,3,3,3,1,3,2,2,2,6666,6666,6666,6666,2,1,2,4,2,2,6666,6666,6666,6666,6666,6666,9,9,9,6,4,9999,1,5,0.664188746588436,0.485247401241477,0.597723039761863,0.503057176420744,0.038727177,"0,42851818",2,1,3,3,3,1,0.0349343815790502,"0,465235999290384",2,9,1,1,6,2,6,3,1,3,2,3,1,6,6,6,6,6,9,3,4,10,6,1,1,1,5,1,1,1,6,6,1,1,6,66,66,3,5,6,6,3,2,1,1,2,2,6,66,1,6,3,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,13,9,1,2,1,2,2,2,2,5,2,6,6,6,6,6,6,6,6,6,2,2,3,2,2,2,2,2,1,2,2,2,4,2,2,2,1,1,2,1,2,3,8,4,5,61,6,5,4,2019,1,111,10,8
138,2,1,2,2,2,2,2,2,2,2,2,2,2,1,3,6666,4,4,2,5,2,3,2,0,4,8,4,8,3,2,3,2,3,3,1,2,3,1,2,6666,4,1,3,2,2,3,2,3,2,2,1,2,3,1,2,2,1,1,2,2,2,4,3,3,4,4,3,4,6666,6666,2,1,3,2,9999,2,2,2,2,1,2,2,1,1,2,2,1,2,2,2,2,2,2,3,3,3,2,6666,6666,6666,6666,3,1,1,1,6666,6666,6666,6666,6666,6666,5,5,9999,4,2,2,6,5,5,4,5,2,1,3,0.781928588813321,0.812277410837879,0.887874186013882,0.887874186013882,0.1133487,"0,704372169",1,1,6,6,1,8,0.152995257222062,"0,722588811254685",1,14,1,3,6,2,6,7,3,6,6,66,6,6,6,6,1,6,4,1,6,66,2,6,2,6,66,8,6,66,2,6,6,6,6,66,66,66,7,6,6,1,1,2,6,6,1,6,66,1,4,2,3,2,2,2,1,1,1,2,1,2,1,2,2,2,1,2,2,2,2,2,2,9,7,1,1,2,1,1,2,2,4,1,2,2,2,2,2,2,1,2,2,1,2,4,2,2,2,1,2,1,2,2,1,4,2,2,2,1,1,1,2,1,1,9,3,2,20,2,666,1,2019,8,111,9,7
