   12   3   4   3   6   2   2   2   2   2   2   2   2   2   1221   1   2   2   36666   1   2   2   1   1   0   23   5   29999   241   2   1   2   2   2   222   1   50   1   1   2   2   2   2   4   2   1   666666666   466666666666666666666666666666666666666666666  11   3   1   2   2   2   4   36666   1   5   5   5   5   2   6   6   6   2   2   2   2   2   2   2   1   2   2   2   2   2   2   12   2   2   1   1   2   1   1   2   2   2   1   2   1   6   9   2   1   9   2   2   3   2   4   4   3   6   4   6   2   4   3   6   3   6   2   3   3   3   5   2   3   2   29999   3   3   3   2   4   2   5   2   5   5   5   1   1   2   3   1   2   3   2   4   1   5   5111419626 41   1   2   7 66   6616 623 8   2   621 1 66 66666666 266 41621   2   6   61   66615522122222222122122222277993   1   2   1   2   2   2 3   1   2   2   2   2   2   2   2   2   132   3   2371111111222121212 831 61  6  532019Inf              6621515 33400  1.04447055296086NA                1.29120799NA         
   52   3   6   2   7   2   2   2   2   2   2   2   2   2   1122666666666666   36666   2   1   2999999999999   23   5   2   5   241   3   1   1   2   2   222   1   60   1   1   2   2   2   3   4   4   1   1   1   1   3   5   6   1   1   1   1   2   2   2   2   2  12   3   1   2   2   2   4   36666   1   5   5   4   5   3   5   5   5   2   2   2   2   2   2   2   1   2   2   2   2   2   2   12   2   1   2   1   1   1   1   2   2   2   1   8   8   1   7   2   1   3   3   2   2   4   4   4   3   6   5   3   1   3   3   3   3   1   1   3   2   1   4   2   4   4   4   3   4   3   3   2   4   3   0   1   5   5   2   1   1   4   1   1   1   1   1   1   1   5   5121013626 51   3   2   3 16   6666104410   6   611 1 32 3661166666 6116631   2   6   62   66616322222221222122222221212 92   1   1   1   1   2   2 3   2   6   6   6   6   6   6   6   6   612   3   2222424211222112123 533 41  4  4420190,8344453388811644432515 80221 0.442429408286111NA               0.608547109NA         
   62   2   4   2   3   2   2   2   2   2   2   2   2   2   1122666666666666   36666   2   2   1666666666666   25   5   1   5   243   3   2   2   2   1   221   2   50   2   2   2   2   1   5   6   2   1   666666666   466666666666666666666666666666666666666666666   4   3   1   2   2   2   1666666666666   5   5   3   5   3   3   3   6   1   2   2   2   2   2   2   2   2   2   2   2   2   2   12   2   2   2   2   2   2   2   2   1   2   1   1   1   2   4   2   2   3   4   3   1   4   4   4   2   6   6   6   1   4   4   3   2   6   2   2   2   1   4   1   2   4   4   3   4   3   2   2   3   1   8   2   5   5   79999   1   1   1   1   1   2   1   1   1   5   3121411626 53   6   6  66 66   6616115666   2   626668866666666666666 56611   1   2   13   2 431132222212222222122221213101   1   2   2   2   1   2 4   2   6   6   6   6   6   6   6   6   613   2   1311243325122212112 523 54  5666120190,94804972138877 6642111108400 0.1230333793525050,2975594066414340.2203531150,65757376 
   72   3   4   2   6   2   2   2   2   2   2   2   2   2   1221   1   2   2   36666   2   1   2   1   1   0   24   4   3   4   331   6   1   1   2   2   222   3   61   1   1   2   1   2   3   3   16666   1   1   1   3   5   3666666666666666666666666666666666666   1   2   1   2   2   2   2   166666666   1   5   3   5   3   2   2   2   2   2   2   2   2   2   2   1   2   2   2   2   2   2   11   2   2   2   1   2   1   1   2   2   3   6   1   1   1   6   4   3   4   3   3   3   3   3   4   2   5   1   1   2   3   4   3   4   3   1   2   6   2   8   2   3   3   3   2   3   2   2   3   3   2   2   1   5   5   4   3   3   3   3   3   4   4   4   2   1   6   421 823612 41   1   2   4 16   6166104511   6   212 3 62 56611666 566113654   2   6   62   66614312222221222121221222211 51   1   1   1   1   2   2 2   2   6   6   6   6   6   6   6   6   642   3   2222212212122211412 832 36  3  4420190,6550273732484433331525 92221  0.647718597254441,13985157296429 0.3940958450,743816426
   82   2   3   28888   2   2   2   1   2   2   2   2   2   2122666666666666   36666   2   2   1666666666666   23   5   2   4   241   2   1   2   2   2   222   1   50   2   2   1   2   2   3   3   3   1   1   1   1   3   4   6   366666666666666666666666666666666  12   3   1   2   2   2   2   166666666   3   5   3   5   2   6   6   6   2   2   2   2   2   2   2   1   2   1   2   2   2   2   22   2   2   1   2   2   2   2   2   2   3   3   2   7   2   7   3   3   4   3   2   2   3   4   4   3   4   4   3   2   3   5   5   3   3   4   3   7   1   5   1   2   4   4   3   3   2   2   1   4   2   5   1   8   5   5   1   1   1   1   1   3   1   1   1   1   5   511 911626 31   3   2   3 16   6666115511   6   611 1 51 46611666 566 82621   1   3   43   2 423232122222222122222222212101   1   1   2   2   2   2 4   2   6   6   6   6   6   6   6   6   622   4   1222222224222122111 424 36  3  3320190,7861269379946263341312 97400  0.330598397943410,39897593261945 0.3156110180,648964268
   92   2   5   28888   2   1   2   2   2   2   2   2   2   2122666666666666   2   1   2   2   1666666666666   23   4   3   4   241   5   1   1   2   2   222   1   61   1   1   1   2   2   4   4   5   1   1   1   1   4   5   6   1   1   1   1   2   2   2   2   2  12   3   1   2   2   2   3   166666666   1   5   4   5   4   5   4   5   2   2   2   2   2   2   2   1   2   2   2   2   2   2   11   2   2   2   1   2   2   2   1   2   1   3   1   9   1   7   3   1   5   3   3   4   2   4   4   3   3   6   3   1   3   4   3   4   3   3   3   3   1   8   1   2   3   3   2   3   1   2   2   3   2   4   2   7   7   6   1   1   2   2   1   4   4   4   1   1   6   521 911626 41   1   2   7 16   6666115511   6   611 1 12 1661166666 5116653   2   6   62   66618312222221212122221121212 71   1   2   2   2   2   2 4   2   6   6   6   6   6   6   6   6   632   3   1321122212122121112 823 51  5  4420190,68233301621486 3341212 902210.04153466806910970,3113923689725410.0359052210,402513781
  101   2   6   2   4   2   2   1   2   2   2   2   2   2   2221   1   2   2   36666   2   2   1666666666666   24   5   2   5   141   2   1   2   2   2   222   1   40   2   1   2   2   2   3   4   16666   666666666   566666666666666666666666666666666666666666666   9   3   1   2   2   2   3   2   16666   5   5   5   3   5   6   6   6   2   2   2   2   2   2   2   1   1   2   2   2   2   2   22   2   2   1   1   2   1   1   2   2   2   1   2   1   1   8   2   1   6   2   2   3   3   4   4   2   6   2   6   2   3   3   6   4   39999   3   2   1   59999   2   2   2   2   3   4   2   2   3   2   2   1   5   5   5   1   1   1   1   1   1   1   1   1   1   5   5121211626 41   1   2   7 66   6611 833 9   2   222 6 26 5666666666 5106621   1   3   13   2 4231321222222222221222222 9 51   1   2   2   2   1   2 4   2   6   6   6   6   6   6   6   6   651   3   2121232121221221213 532 51  5  5320190,9060374478584055532818 97400  1.04581806701823NA               1.787505177NA         
  132   2   3   2   7   2   2   2   2   2   2   2   2   2   1122666666666666   36666   2   2   1666666666666   24   4   1   4   121   166666666666666666666226666   60   2   1   1   2   2   3   2   2   1   1   1   1   4   3   6666666666666666666666666666666666666   9   1   1   2   2   2   4   166666666   4   4   5   5   5   4   4   4   2   2   2   2   2   2   2   1   2   1   2   1   2   2   21   1   1   1   1   2   2   1   2   2   2   1   1   7   1   2   2   1   3   2   2   2   2   4   4   3   6   3   3   2   3   3   6   4   6   2   3   4   1   6   2   2   2   2   2   2   2   2   2   3   2   5   1   8   8   8   1   1   2   1   2   1   2   2   1   1   8   8111011626 13   6   6  66 16   6666 93666   6   61666 52666611666 366 24611   2   6   62   666164221222222221222222212 9 81   1   2   1   1   1   2 4   2   6   6   6   6   6   6   6   6   612   2   2122121121212221212 425 47  4666120190,8057360110677834431717 942210.04422236882237250,6151552507656980.0448799630,491116771
  142   3   6   38888   2   2   1   2   2   2   1   2   1   2122666666666666   36666   2   2   1666666666666   23   3   3   3   321999966666666666666666666226666   41   1   2   1   2   2   3   3   16666   666666666   666666666666666666666666666666666666666666666   7   3   1   2   2   2   3   166666666   5   5   3   5   3   6   4   4   2   2   2   2   2   2   2   1   1   2   2   1   2   2   22   1   2   1   1   2   2   1   2   2   2   1   1   1   2   6   2   2   5   3   3   3   4   4   4   1   6   2   6   1   2   1   3   4   6   3   2   5   2   4   2   3   2   2   2   3   2   1   3   3   2   4   2   5   5   5   1   2   2   2   2   3   3   3   2   1   4   4211311626 41   1   2   7 66   6611 511 4   2   222 6 56 26666666 266 22621   1   2   11   666245421222222222221222222 8 41   1   2   2   2   2   2 3   1   2   2   2   2   1   2   2   2   212   2   2122222212222112112 545 61  6  5320190,4824696210956975511818 64400  2.97810991343479NA               2.453382281NA         
  182   3   4   2   7   2   2   2   2   2   2   2   2   2   1122666666666666   36666   2   1   2   5   3   0   14   4   2   3   231   4   1   1   2   2   222   2   60   1   2   1   2   2   4   5   3   1   1   1   1   3   5   4666666666666666666666666666666666666  12   2   1   2   2   2   3   2   16666   3   5   1   5   1   4   5   5   1   2   2   2   2   2   2   2   1   2   2   2   2   2   21   2   1   1   2   2   2   2   2   2   7   1   5   9   1   9   6   9   9   3   3   2   1   3   4   4   3   4   2   1   4   4   4   5   1   2   2   7   1   4   2   3   3   3   2   3   2   2   3   4   2   5   2   4   6   4   2   4   3   1   1   2   2   2   1   1   3   5121111626 41   1   2   7 16   6666115511   6   611 1 76 961666666666 66631   1   2   31   66625532222222221112222222212 71   1   1   1   1   1   2 3   2   6   6   6   6   6   6   6   6   612   2   2322242392222211312 832 54  5  3420190,69291640966131 4442111108400 0.2368884721812230,7162465413439150.3183325470,835381342
  192   3   6   2   7   2   2   2   2   2   2   2   2   2   1122666666666666   36666   2   2   1666666666666   23   5   2   5   141   2   1   2   2   2   222   1   40   2   1   1   2   2   2   3   16666   666666666   466666666666666666666666666666666666666666666  11   3   2   2   1   2   2   2   26666   5   5   5   5   5   3   3   5   2   2   2   2   2   2   2   1   2   2   2   2   2   2   12   2   2   1   2   2   2   1   2   2   2   1   1   1   3   8   2   1   3   3   1   2   2   4   3   3   6   6   6   3   3   3   6   3   3   2   3   5   1   8   2   4   4   4   2   3   3   3   4   4   2   5   1   5   5   5   3   3   3   2   1   1   3   2   4   1   6   3211311626 41   1   2   2 66   6616 51511   2   621 1 16 1666666666 4 66621   2   6   62   66614222221221112122122222212 91   1   1   2   2   2   2 3   2   6   6   6   6   6   6   6   6   642   2   1221234341222112312 522 51  5  4320190,8730410964632585511515 00120  1.43353715057419NA               1.347581956NA         
  202   3   6   3   6   1   1   1   2   2   2   2   2   2   2122666666666666   36666   2   2   1666666666666   23   2   3   2   431   3   1   1   2   2   211   3   50   1   1   1   1   2   3   2   3   2   1   2   2   5   4   466666666666666666666666666666666666699999999   1   2   2   2   2   166666666   4   5   5   5   4   1   3   2   1   2   2   2   2   2   2   2   2   2   2   2   2   2   12   2   2   2   1   2   2   1   2   2   2   4   3   1   1   7   2   7   6999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999922 411626 21   2   2   2776   6666 933 9   6   671 1666 666666666666666632   1   1   22   66614112122222222122221222277993   1   3   3   3   3   2 1   2   6   6   6   6   6   6   6   6   652   2   2377132113212222124 535666666  6420190,36107945734408 1132212 00112  4.14657192860106NA               1.421671465NA         
  212   3   6   2   4   2   2   2   2   2   2   2   2   2   1122666666666666   36666   1   1   2   1   0   0   22   4   2   4   231   2   2   1   2   2   222   1   40   1   2   1   2   2   3   3   3   1   1   1   1   5   5   6   1   2   1   1   2   2   2   2   2   6   3   2   2   2   1   4   166666666   4   5   5   5   3   3   5   5   2   2   2   2   2   2   2   1   2   2   2   2   2   2   12   2   2   2   1   2   2   2   2   2   6   9   1   9   1   9   9   9   7   3   1   3   3   4   4   3   3   6   3   1   3   5   3   3   3   4   3   5   3   5   2   4   2   3   3   1   3   2   3   4   4   1   1   5   5   2   2   2   3   2   2   2   3   2   2   2   5   012 711626 13   6   6  66 16   6666 11666   6   61666 51666611666 666 54621   1   1   23   2 423332122222222122222222277993   1   2   2   2   2   2 2   2   6   6   6   6   6   6   6   6   632   3   2222221122212222123 521 55  5666220180,6752421077575543312212 87400  2.06960022727587NA               1.264009069NA         
  231   2   5   1   5   2   2   1   2   2   2   2   2   2   2122666666666666   36666   2   2   1666666666666   24   5   2   5   341   4   1   1   2   2   222   3   60   2   1   1   2   2   3   5   5   1   1   1   1   3   5   6   1   1   1   2   2   2   2   2   1  12   3   1   2   2   2   4   166666666   3   5   5   5   4   5   5   5   2   2   2   2   2   2   2   1   2   2   2   2   2   2   12   2   2   1   2   2   2   2   2   2   2   2   1   7   2   7   2   1   2   3   3   2   2   4   4   3   3   6   3   2   3   4   6   4   6   3   3   3   1   5   1   2   2   2   2   2   2   3   2   4   2   5   1   69999   5   2   2   1   1   1   2   2   2   1   1   4   421 911626 21   2   2   5 16   6666115511   6   611 1 51 56611666 566 63643   2   6   62   66615222122222222122221221212 81   1   1   1   1   1   2 5   2   6   6   6   6   6   6   6   6   632   3   2322132222222211112 622 36  3  4420190,8422004537233543341212 02120 0.589715530108049NA               0.509787785NA         
  241   3   4   2   2   2   2   1   2   1   2   2   2   2   2122666666666666   36666   2   2   1666666666666   23   5   2   4   231   2   1   2   2   2   222   2   60   2   2   1   2   2   3   4   16666   766666666   766666666666666666666666666666666666666666666  12   3   1   2   2   2   2   166666666   5   5   4   4   5   6   6   6   2   1   2   1   2   2   2   2   1   1   2   1   2   2   22   2   1   2   1   2   2   1   2   2   5   1   2   1   5   2   2   2   3   3   1   3   1   4   4   4   6   1   6   3   6   3   3   3   6   4   2   7   1   0   1   2   2   2   2   2   3   3   2   3   2   5   2   2   2   2   1   1   1   1   1   1   1   1   1   1   2   2121111626 41   1   2   7 73   6611 512 6   2   222 6 16 4666666666 4116621   2   6   61   66615412122222222222122221213101   1   1   1   2   2   2 5   2   6   6   6   6   6   6   6   6   613   3   1122221111212221112 521 55  5  6320190,7644207012151564412212 90221  1.269344562246782,80837662984233 0.9384186063,007649633
  251   3   2   27777   2   2   2   2   2   2   2   2   2   1122666666666666   36666   2   2   1666666666666   23   4   2   4   231   5   2   1   1   2   221   2   51   2   1   2   2   2   3   4   16666   1   2   1   2   5   4666666666666666666666666666666666666   6   2   1   2   2   2   2   166666666   1   5   5   5   4   4   6   6   2   2   2   2   2   2   2   1   2   2   2   1   2   2   21   2   2   1   1   2   2   2   2   2   1   3   3   1   1   8   2   6   6   3   3   4   2   4   4   1   3   4   6   6   3   4   4   4   6   2   2   5   1   5   2   2   1   1   2   2   2   2   2   3   2   6   1   5   5   5   3   3   3   2   2   2   2   3   3   29999   522 411626 13   6   6  66 26   6666 93666   6   61666 56666651666 166 74652   2   6   61   66635522122222222132223332377993   1   1   3   3   3   1 3   2   6   6   6   6   6   6   6   6   621   3   2172312121222121113 634 55  5666420190,7082384591527011132515 82221  3.41412993094755NA               1.259816119NA         
  262   3   3   3   1   2   2   2   1   2   2   2   2   2   2221   1   2   2   36666   2   2   1666666666666   23   4   2   3   331   166666666666666666666226666   30   2   2   2   1   2   2   4   16666   666666666   566666666666666666666666666666666666666666666   6   3   2   2   2   1   3   166666666   5   5   5   2   4   6   6   6   1   2   2   2   2   2   2   2   1   2   2   2   2   2   22   2   2   1   1   2   2   2   2   2   3   1   1   1   1   7   2   1   8   3   2   3   3   2   2   3   6   6   6   6   3   3   6   3   6   2   2   6   1   5   2   2   2   2   1   2   3   2   3   3   2   8   2   5   5   4   1   1   2   2   1   2   1   2   2   2   5   4121311626 53   6   6  66 66   6616 51666   2   62666 166666666666688116611   1   2   13   2 4233221222222222221222222 6 51   2   2   2   2   2   2 2   2   6   6   6   6   6   6   6   6   642   2   2122322112212221312 932 54  5666120190,6079697796549335512111108400    3.076317664574NA                3.45062085NA         
  272   3   6   27777   2   2   2   2   2   2   2   2   2   1122666666666666   36666   2   2   1666666666666   25   5   1   5   241   166666666666666666666216666   50   1   1   2   2   2   2   2   16666   666666666   3666666666666666666666666666666666666666666669999   2   1   2   2   2   1666666666666   5   5   5   5   1   1   1   1   2   2   2   2   2   2   2   1   2   2   2   2   2   2   11   2   2   2   2   2   2   2   2   1   3   1   1   1   1   7   3   1   5   4   2   2   2   3   3   3   6   6   6   1   3   4   6   4   6   2   2   3   1   5   2   4   1   2   3   3   4   2   3   4   2   9   2   5   9   1   1   3   2   1   1   1   1   1   1   1   0   5121411626 73   6   6  66 66   6616104666   2   62666 3666666666666 6116611   1   1   11   666145122222212222221222222 8 72   2   2   1   2   2   2 3   1   2   2   2   2   2   2   2   2   122   4   2222222111122111411 931 41  4666120190,94804972138877 6632212 60221 0.2168591995776730,1089947688723070.3693772290,339257232
  282   2   3   3   7   2   2   2   1   2   2   1   2   2   2122666666666666   36666   2   2   1666666666666   24   5   2   4   332   2   1   2   2   2   212   2   31   2   1   2   2   2   1   3   16666   666666666   366666666666666666666666666666666666666666666  10   3   1   2   2   2   1666666666666   5   5   1   5   1   1   5   6   2   2   2   2   2   2   2   1   2   2   2   2   2   2   12   2   2   1   1   1   2   2   2   2   3   1   1   1   3   7   2   2   3   3   2   3   1   4   4   3   6   1   6   3   3   4   4   3   3   2   3   4   3   6   1   2   4   4   3   3   2   3   2   4   3   7   2   5   5   3   1   1   1   1   1   1   3   2   1   1   3   3211311626 41   1   2   7 66   6611115511   2   222 6 16 1666666666 6 96621   1   2   21   66617522122222222222122221212101   1   1   1   2   1   2 5   2   6   6   6   6   6   6   6   6   612   4   1111133321221222122 431 32  3  3320190,7454667739990735541818 97400 0.2311299803456130,2441534262200730.3234554870,462108146
  291   3   4   2   9   2   2   2   2   2   2   2   2   2   1122666666666666   36666   2   1   2   1   1   0   24   4   2   4   231   2   1   2   2   2   212   1   60   2   1   2   2   2   3   5   16666   1   1   1   2   5   6   1   1   1   2   2   2   2   2   1  12   3   1   2   2   2   4   166666666   5   4   3   4   4   5   4   5   2   2   2   2   2   2   2   1   1   2   2   2   2   2   22   2   2   1   1   2   2   1   2   2   5   1   3   9   2   2   3   1   6   3   4   4   2   4   4   3   6   4   2   3   4   3   6   5   3   2   3   6   1   5   2   3   2   2   2   3   3   2   2   3   2   7   2   6   6   3   3   2   1   1   1   1   3   3   2   1   4   3111111626 31   3   1   1 16   6666 933 9   6   611 1 96 426666666666 66611   1   1   12   66615351221222222112222221213101   1   1   1   2   2   2 5   2   6   6   6   6   6   6   6   6   612   3   1122312114222211213 732 20  2  6120190,7412348105478484431515 644000.03132982666879490,4555614738317290.0359052210,572412057
  302   3   5   3   1   2   2   2   2   2   2   2   2   2   1122666666666666   36666   2   2   1666666666666   23   4   2   3   241   2   1   2   2   2   222   2   60   2   1   2   2   2   3   3   16666   666666666   366666666666666666666666666666666666666666666  11   3   1   2   2   2   3   166666666   5   5   5   5   5   1   1   6   1   2   2   2   2   2   2   2   2   1   2   2   2   2   22   2   1   2   1   2   2   2   2   2   6   1   5   1   2   4   2   1   5   3   4   3   2   4   3   4   6   4   6   1   2   4   6   4   6   3   3   6   2   7   1   2   2   2   2   2   3   2   3   3   2  10   2   5   5   3   1   2   2   2   1   2   1   1   1   1   2   4221411626 41   1   2   7 66   6616115511   2   121 6 16 1666666666 6 96621   1   1   11   66617512122222222222122222211 82   2   2   1   2   2   2 3   1   2   2   2   2   2   2   2   1   112   4   1122242221112222122 635 32  3  4320190,6682717740164976642616 64400 0.396888830383462NA               0.750422349NA         
  352   3   6   2   1   2   2   2   2   2   2   2   2   2   1122666666666666   36666   1   2   2   1   1   0   23   5   2   3   342   2   1   2   2   2   222   1   60   2   1   2   2   2   2   3   2   1   666666666   366666666666666666666666666666666666666666666  13   2   1   2   2   2   2   166666666   5   5   4   5   3   1   4   6   2   2   2   1   2   2   2   2   2   2   2   1   2   2   21   2   2   1   2   1   2   1   2   2   1   1   2   1   5   1   2   2   4   3   2   2   1   4   3   2   6   5   6   4   6   4   4   3   1   2   3   1   1   5   1   2   4   4   4   3   2   2   2   4   1   6   2  10   5   5   1   2   1   1   1   1   2   1   1   1   2   2121311626 41   1   2   7 66   6611115410   2   222 6 16 2666666666 6 96621   1   2   11   66624152122222222222122221213101   1   2   2   2   2   1 5   1   2   2   2   2   2   2   2   2   113   4   1111153322222122121 322 32  3  3320190,6992127795259955542717 97400 0.561662928304319NA               0.953272827NA         
  361   3   6   2   5   2   1   2   2   2   2   2   2   2   2221   1   2   2   36666   1   2   2   1   1   0   23   4   2   4   331   2   2   1   2   2   211   1   50   2   2   2   2   1   3   4   16666   666666666   666666666666666666666666666666666666666666666   5   2   2   1   2   2   2   166666666   5   5   5   5   4   6   6   6   2   2   2   2   2   2   2   1   2   2   2   1   2   2   21   2   2   2   1   2   2   1   2   2   5   6   2   1   1   6   3   2   6   3   1   3   4   4   4   4   3   3   6   6   2   3   3   4   6   4   3   8   2   5   2   3   3   3   2   4   4   4   3   3   3   9   2   5   5   3   1   2   2   1   1   1   3   1   3   1   3   2221319626 73   6   6  66 66   6616 41666   2   62666 4666666666666 2116621   1   2   23   1 5235221222222222221122122 6 21   2   2   1   2   2   2 2   2   6   6   6   6   6   6   6   6   612   3   2122321114212221214 521 61  6666220190,6696427015706075522313 97400  1.66198353498416NA               2.691958528NA         
  372   2   5   2   2   2   2   2   2   2   2   2   2   2   1122666666666666   36666   2   1   2   3   1   2   22   3   3   3   331   5   1   1   2   2   221   3   61   2   1   2   2   2   5   6   4   2   1   1   1   3   3   6   1   1   1   2   2   2   2   2   1  12   3   1   2   2   2   4   166666666   3   5   3   5   4   6   6   6   2   2   2   2   2   2   2   1   2   1   2   2   2   2   21   2   1   2   1   2   2   2   2   2   3   2   2   7   3   7   4   5   5   3   1   3   2   4   4   5   3   4   3   2   3   5   5   4   3   2   3   8   2   6   2   2   3   4   2   4   3   2   3   3   2   9   2   4   4   4   2   2   1   1   1   2   2   1   1   1   49999111011626 41   1   2   7 16   6666 83511   6   611 1 51 16611666 566 62653   2   6   62   66619552222221112112221222212 71   1   2   2   2   2   2 4   1   2   2   2   2   2   2   2   2   122   3   1222113231222112113 321 36  3  5420190,4845340275091564431515 03112 0.2097404093649270,4053895056986590.2403708080,509371082
  402   2   5   2   3   1   2   2   2   2   2   2   2   1   2122666666666666   36666   2   2   1666666666666   13   3   2   3   234   2   2   2   2   2   122   1   60   2   1   2   2   2   2   4   3   1   666666666   366666666666666666666666666666666666666666666  10   3   1   2   2   2   2   166666666   5   5   2   5   3   4   5   6   2   2   2   2   2   2   2   1   2   2   2   2   2   2   12   1   2   2   1   2   2   2   1   2   3   1   1   1   2   8   2   3   6   3   3   1   3   4   4   2   6   6   6   4   4   4   5   5   5   2   3   5   2   4   1   3   3   3   2   3   2   2   2   3   2   3   2   6   7   7   1   1   2   2   1   1   1   1   1   1   5   7121311626 73   6   6  66 66   6616 83666   2   62666 1666666666666 5 96611   1   2   11   66616522222221212212122221212101   1   2   1   1   1   1 5   2   6   6   6   6   6   6   6   6   612   2   1321254242222121112 321 41  4666120190,6037378162037085532111108400 0.616927357648225NA               1.196234032NA         
